EmployeeID,FirstName,LastName,Title,HireDate,Department,Salary
1,Matthew,Clark,Account Executive,2022-04-22,IT,65482
2,John,White,Sales Manager,2014-12-22,HR,84494
3,Stephanie,Kim,Sales Representative,2017-10-11,HR,65005
4,Jerry,Garrison,Sales Representative,2011-07-17,Finance,72481
5,Haley,Rocha,Sales Representative,2023-05-09,IT,68401
6,Nicole,Rice,Account Executive,2023-05-18,Finance,80431
7,Stephen,Wright,Sales Manager,2019-05-03,Sales,104459
8,Linda,Byrd,Sales Manager,2010-05-03,Finance,118682
9,Peter,White,Sales Manager,2018-11-27,Finance,116789
10,Brandon,Wright,Sales Representative,2011-05-30,HR,88504
11,Todd,Patton,Sales Manager,2024-01-16,HR,43223
12,Brittney,Watkins,Account Executive,2023-05-04,IT,110977
13,Christine,Turner,Account Executive,2018-01-13,Finance,80149
14,Diana,Obrien,Sales Manager,2014-03-02,Finance,52863
15,Johnny,Hill,Sales Representative,2020-12-23,IT,69564
16,Thomas,Calhoun,Account Executive,2020-05-11,Marketing,62499
17,Courtney,Williamson,Account Executive,2018-06-07,IT,72132
18,Jillian,King,Sales Representative,2010-07-07,HR,44533
19,Michael,Ross,Sales Representative,2016-12-29,HR,74409
20,Samuel,Henderson,Sales Manager,2019-07-20,Finance,62987
21,Kim,Moreno,Account Executive,2013-11-05,HR,50633
22,Abigail,Greene,Account Executive,2015-06-03,IT,96207
23,Christina,Taylor,Sales Manager,2018-06-14,Finance,90535
24,Clifford,Lawson,Sales Manager,2022-06-03,IT,43996
25,Matthew,Davila,Account Executive,2012-06-07,IT,40014
26,Shawn,Williams,Account Executive,2020-05-10,Finance,41674
27,Aaron,Peters,Sales Representative,2014-09-26,Marketing,77867
28,Tyler,Roberts,Sales Representative,2011-09-30,HR,97251
29,Randy,Ruiz,Account Executive,2015-04-23,Sales,95709
30,Gary,Cooper,Account Executive,2014-03-18,Sales,57864
31,Emily,Salinas,Sales Representative,2011-09-11,Sales,66321
32,Jessica,Acevedo,Sales Manager,2017-10-16,HR,64082
33,Christine,Wang,Sales Manager,2024-10-17,Marketing,80131
34,Jacqueline,Jones,Account Executive,2021-03-12,IT,111493
35,Elizabeth,Luna,Account Executive,2015-10-06,Finance,44210
36,Robert,Bryant,Sales Representative,2019-08-24,Marketing,104586
37,Whitney,Mcdonald,Account Executive,2016-08-24,Sales,74851
38,Jasmine,Serrano,Sales Manager,2013-03-09,HR,66865
39,Jennifer,Sanders,Sales Representative,2023-07-18,HR,44158
40,John,Hill,Sales Representative,2022-01-13,Finance,97852
41,Ronald,Barrett,Sales Manager,2019-05-01,IT,89339
42,Cynthia,Bennett,Sales Manager,2010-03-01,Marketing,60572
43,Michael,Hardy,Sales Representative,2020-06-27,Marketing,44100
44,Jennifer,Armstrong,Account Executive,2019-12-29,Marketing,84469
45,Tammy,Alexander,Sales Manager,2024-11-12,IT,100861
46,Philip,Woods,Sales Representative,2017-08-21,IT,58456
47,Maria,Alexander,Account Executive,2017-11-03,IT,95803
48,Ashley,West,Account Executive,2015-01-09,Finance,105633
49,Jesse,Kerr,Sales Representative,2020-07-16,HR,115019
50,Lisa,George,Sales Manager,2014-12-17,Sales,76232
51,Vincent,Rasmussen,Account Executive,2020-08-18,IT,107323
52,John,King,Sales Manager,2010-05-25,HR,61788
53,Eric,Zimmerman,Sales Representative,2020-02-26,IT,56092
54,Jeffrey,Williams,Sales Manager,2018-03-13,Sales,41132
55,Steven,Lowe,Account Executive,2017-08-02,IT,117850
56,Gilbert,Jensen,Sales Representative,2023-05-20,HR,53068
57,Linda,Shaw,Account Executive,2011-10-11,Finance,87401
58,Jennifer,Case,Account Executive,2014-04-09,Sales,88526
59,Michael,Farley,Sales Representative,2024-11-30,HR,98958
60,Brian,Sullivan,Sales Representative,2014-07-31,Marketing,116593
61,Hannah,Cole,Sales Manager,2021-01-15,Marketing,95041
62,Timothy,Turner,Sales Representative,2015-09-16,Marketing,103372
63,Heidi,Smith,Sales Manager,2010-12-08,Finance,107562
64,Charles,Koch,Sales Representative,2018-06-19,IT,104046
