CustomerID,CompanyName,ContactName,Email,Phone,Country,StreetAddress,PostalCode,LastPurchaseDate,CustomerSince,ActiveStatus
1,"Rodriguez, Figueroa and Sanchez",Jessica Donaldson,sallywilliams@example.com,626.573.9589,Canada,270 Melissa Prairie,15913,2024-04-25,2021-07-04,Inactive
2,Doyle Ltd,Joshua Meyers,michele60@example.com,(886)546-4126,Sweden,90682 Cynthia Path,04420,2023-07-24,2023-05-08,Active
3,"Mcclain, Miller and Henderson",Adrienne Moon,rollinschristina@example.net,5595683282,France,762 Cody Trail,85503,2024-05-11,2020-06-30,Active
4,Davis and Sons,Beth Bowen,dawn76@example.com,577-773-6493,Germany,5898 Murray Rue Suite 468,28868,2024-11-26,2017-07-05,Inactive
5,"Guzman, Hoffman and Baldwin",Jesus Poole,kmedina@example.org,001-946-281-7557x958,United States,967 Daniel Garden,89413,2022-12-25,2015-06-25,Active
6,"Gardner, Robinson and Lawrence",Michelle Jackson,pberry@example.net,(868)866-0968x5075,United States,0339 Foster Villages Apt. 603,14098,2023-10-19,2023-03-18,Active
7,Blake and Sons,Mr. Jesus Burgess,mcintoshkyle@example.com,386.223.3884,United States,710 David Lake,26206,2022-08-24,2018-03-12,Active
8,"Henderson, Ramirez and Lewis",Barbara Wolf,stevenwalter@example.net,+1-717-895-8049x56603,Spain,254 Scott Street Suite 739,33660,2022-12-08,2017-06-01,Inactive
9,Garcia-James,Francis Steele,bushmark@example.org,001-923-680-2555x781,Germany,435 Keller Inlet,17602,2024-02-05,2019-05-28,Active
10,Abbott-Munoz,Mr. James Smith,bensonkatie@example.net,(532)995-1467x4702,France,92527 Danielle Fall,52950,2023-01-25,2017-09-13,Inactive
11,Blair PLC,Alexa Solomon,bmorton@example.net,(361)890-4244x624,United States,8768 Mcintyre Port,85479,2023-07-19,2019-03-01,Active
12,Dudley Group,Anthony Thomas,johnsonstanley@example.com,001-874-297-4899x583,Norway,0021 Christopher Place,24101,2024-02-24,2020-08-27,Active
13,Arnold Ltd,Brenda Phillips,wjones@example.com,783-218-2118x148,United Kingdom,1564 Higgins Stravenue Suite 349,69830,2024-10-31,2018-01-17,Active
14,"Mcclure, Ward and Lee",Daniel Byrd,johnpearson@example.org,(418)679-9634x40608,United States,58816 Jeffrey Oval,15059,2023-05-18,2015-07-02,Active
15,Williams and Sons,Patrick Webb,garcialisa@example.net,992.422.9783x0991,United States,0142 Carol Branch,01332,2022-09-12,2019-10-23,Active
16,Galloway-Wyatt,Mary Duke,andersondeborah@example.net,+1-929-939-8908x55327,United States,79354 Vaughan Rapid,07487,2022-08-05,2022-06-17,Active
17,James Group,Manuel Reilly,jimmycole@example.net,605.950.3718x1962,Canada,38683 Patrick Falls Apt. 014,37545,2022-03-09,2017-06-27,Inactive
18,"Flowers, Martin and Kelly",Jessica Martinez,pattonstacy@example.org,(765)390-5349x75744,Brazil,244 Harris Canyon,15193,2022-07-06,2015-07-04,Active
19,"Adams, Zuniga and Wong",Lynn Rodriguez,salazartonya@example.org,6157984555,Mexico,1856 Jennifer Rapids Apt. 082,83730,2024-10-25,2021-08-22,Active
20,"Reid, Ferguson and Sanchez",Leonard Bailey,barajasmitchell@example.org,(523)721-7914x01864,United States,3088 Lyons Fords Apt. 485,37652,2022-05-25,2022-01-17,Active
21,Gray-Mayo,Randy Russell,travismorse@example.org,001-271-461-7029x7272,Germany,2982 Maxwell Throughway,10815,2023-10-02,2023-11-17,Active
22,"Watts, Robinson and Nguyen",Leon Maldonado,kylerobinson@example.org,001-845-354-6972,United States,6647 Zachary Mountains Suite 122,49695,2024-11-17,2020-10-28,Active
23,Perez Inc,Cynthia Roberts,zacharybaker@example.org,424-548-3941x757,United States,649 Victoria Summit Suite 766,52979,2023-12-13,2017-06-24,Active
24,Morales-Jones,Alan Reeves,robert68@example.com,6898612694,Canada,24332 Nicole Burg,13175,2023-10-28,2015-03-07,Active
25,"Walter, Edwards and Rios",Timothy Franco,chodges@example.net,(451)573-7234x238,Panama,44813 Joseph Trafficway Apt. 427,05467,2024-08-21,2017-12-29,Active
26,Wilkerson-Day,Victoria James,samantha00@example.org,+1-892-556-5846,United Kingdom,275 Scott Row,43622,2022-09-12,2023-04-30,Active
27,Baker and Sons,Christina Ellis,rebecca95@example.net,568.728.7425x9437,United States,77912 Luis Ramp,64999,2024-01-08,2023-04-04,Inactive
